apBin,yBin,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1120,1140,1160,1180,1200,1220,1240,1260,1280,1300,1320,1340,1360,1380,1400,1420,1440,1460,1480,1500,1520,1540,1560,1580,1600,1620,1640,1660,1680,1700,1720,1740,1760,1780,1800,1820,1840,1860,1880,1900,1920,1940,1960,1980,2000
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55341168276039,0.0,0.0,23.7612944738071,6.568018488618421,8.07016159175941,34.1604296649884
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766284449133475,0.0,0.0,0.0,0.0,0.0,2.222466285400235,1.12973365609374,10.3787799919137
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0017199098053897,19.015881570825695,30.4629529074664,36.3381654691448,19.2589595209806,34.749425692143,29.4748922116411,49.55102471651671,31.4747205995724,28.992884733356,33.254244850799,26.136456197028103,12.3835297954707,32.1154354851029,47.2897555722948,35.9003373222439,58.0031606441182,55.679259577687
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28673552385526596,0.82480832412678,0.0,0.0,2.83332090205446,0.0,0.0,0.0,1.1289803716997648,7.34174170506835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734613773505805,19.1295288222774,25.172855953363502,29.8000554922437,22.57418922261168,42.72696474906235,33.4183719029041,37.84308493813255,44.52728642497566,51.30843906725694,61.13230429030095,53.11080039702435,68.34069307870314,69.57211785940436,78.11812792303795,81.7165747061427,95.98811207145044,90.5251702202722,75.58478297569394,91.78577647251205,119.895669092316,103.85039997379366,113.14574149978
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65252520973651,11.6735251998518,0.0,10.007582324978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43242190873609,21.2127990907144,9.39952173195502,0.0,0.0,0.0,0.0,26.8965404662906,42.4830509043687,42.543165668091895,63.5942317078653,72.0234369975714,66.9958017895577,60.0326685499634,74.5796804164637,83.0989655128942,66.3309986472407,75.95244434036209,90.3078026687261,93.326421592257,109.717965753049,104.549730356783,115.419181915083,121.294811505475,125.126302454295
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88196032338278,13.5492517694424,0.0,0.0,8.81626114645094,29.998980117485495,27.655202269011504,39.796490551313504,49.151919770813,45.9335439647976,44.2592963352843,41.219229894048,49.5713498998325,51.2698506021139,56.4411870997433,83.549404552844,95.1760692325939,102.444709048697,85.0926354712705,78.0347958528657,89.6789002831624,91.7311124935289,93.1297896575858,85.96289879994859,100.561459723422,104.948220662962,95.92491367404052,92.10733676082528,77.7104522470247,88.6172596341229,80.4033939032097
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.716787422228862,18.7758985115064,21.60318321833205,34.08467679622335,29.74847783083645,45.48384506377645,49.306080338547346,74.1908382441938,77.9346826893069,77.04198928924315,87.2350792153951,85.02074127945075,93.61665247132001,88.9181703621557,81.374054321703,84.5222979675512,88.66448294391986,98.71087351946676,92.82255199302935,112.17128436813951,100.00139208372883,89.91609254855055,91.7985180813091,89.32336378713579,104.15452655402859,117.516794531885
2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62916002030735,13.3904077781185,8.13848098305925,15.518193804878354,18.22125707983359,9.1967087942934,3.6315482998885353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9613481063322048,0.0,0.0,2.29605284838589,0.0,1.08713412554668,0.0,0.0,0.0,0.0,0.0,1.16178842415889,0.0,0.542244514332805,10.49171857187255,15.74857782960065,14.154405482574873,19.724992911049398,33.005219865231496,42.07403381140645,36.69885852485455,31.641566730201003,35.99531368062355,32.72831897358525,35.678298603803555,33.570943580499694,28.452624112787852,42.07799066914235,48.24387353949515,45.521049677117304,51.8348643390073,63.994233037033254,69.2715327287833,69.7926006880445,72.0841184423307,86.343837622874,92.65646750165475,73.90247914341015,73.71412908662475,58.345305609501,51.553903950013805,46.554265740792104,39.0017091564668,39.10569652187855,47.412997373907,46.23656624522904,53.078387195599205,63.2691916148476,72.81258638850716,66.43684738146031,98.93687070159635
